"Sr.","Stock Name","Symbol","close","%_change","volume","sma150","market_cap","sector","atr14","ema21","Add Column"
225,"Tega Industries Ltd","TEGA","1,744","2.36%","1,87,213","1698.67","12800.26","industrials","65.39","1627.35",""
226,"Antelopus Selan Energy Ltd","ANTELOPUS","800.9","2.34%","2,40,235","677.6","2751.81","energy","41.31","820.22",""
227,"Indo Count Industries Limited","ICIL","388.7","2.32%","3,73,058","314.55","7524.08","textiles","21.74","404.67",""
228,"Vardhman Special Steels Limited","VSSL","361.55","2.32%","4,53,421","270.37","3416.39","metals & mining","17.05","321.69",""
229,"Network People Services Technologies Ltd","NPST","1,622.8","2.31%","57,087","1319.57","3309.37","i.t","95.83","1559.87",""
230,"K.p.r. Mill Limited","KPRMILL","1,135.6","2.31%","3,03,056","969.54","37941.35","consumer discretionary","33.15","1089.65",""
231,"Shreyas Shipping & Logistics Ltd","TRANSWORLD","159.34","2.31%","7,273","158.89","341.99","transportation","5.85","159.88",""
232,"Pyramid Technoplast Ltd","PYRAMID","166.69","2.28%","48,667","161.11","599.48","industrials","8.12","171.33",""
233,"Bf Utilities Limited","BFUTILITIE","545.65","2.26%","55,723","544.57","2009.94","power & utilities","19.81","567.77",""
234,"Clean Science & Technology Ltd","CLEAN","840","2.25%","4,45,913","774.56","8731.11","chemicals","25.38","785.86",""
235,"Arvind Smartspaces Limited","ARVSMART","670.35","2.25%","1,25,853","581.49","3007.04","realty","25.77","628.34",""
236,"Jet Freight Logistics Ltd","JETFREIGHT","22.73","2.25%","64,585","19.83","103.16","transportation","1.17","22.59",""
237,"Wendt (india) Limited","WENDT","8,110","2.24%","5,238","7195.53","1586.4","industrials","221.9","7997.16",""
238,"SG Mart Ltd","SGMART","752.3","2.24%","2,62,162","534.63","9274.3","services","24.76","705.41",""
239,"Craftsman Automation Ltd","CRAFTSMAN","10,480","2.23%","51,661","8353.29","26810.91","auto","345.08","10049.86",""
240,"Pansari Developers Ltd","PANSARI","318.65","2.23%","1,861","300.96","543.82","realty","18.35","327.79",""
241,"Ashima Limited","ASHIMASYN","17.51","2.22%","62,627","15.9","328.31","miscellaneous","1","17.36",""
242,"Pix Transmission Ltd","PIXTRANS","1,938.8","2.21%","27,203","1558.08","2584.43","fmcg","93.64","1828.6",""
243,"Vijaya Diagnostic Centre Ltd","VIJAYA","1,506.6","2.2%","1,30,297","1152.1","15168.01","healthcare","62.33","1406.21",""
244,"Pg Electroplast Limited","PGEL","614","2.16%","10,55,830","551.17","17163.77","consumer discretionary","19.82","604.49",""
245,"Angel One Ltd","ANGELONE","293.5","2.16%","40,87,024","290.42","26245.4","financials","8.24","302.04",""
246,"Sundaram Brake Linings Limited","SUNDRMBRAK","899.8","2.13%","7,949","671.88","346.66","auto","31.2","811.79",""
247,"The Phoenix Mills Limited","PHOENIXLTD","1,929.8","2.11%","7,18,310","1797.33","67594.05","realty","44.79","1943.72",""
248,"Affle India Ltd","AFFLE","1,703.9","2.1%","1,51,323","1503.56","23496.1","i.t","63.65","1617.6",""
249,"Swelect Energy Systems Limited","SWELECTES","629.7","2.1%","56,984","599.11","934.92","industrials","29.62","641.94",""
250,"Bhartiya International Limited","BIL","854.9","2.09%","19,406","755.25","1122.99","consumer discretionary","41.48","797.68",""
251,"United Drilling Tools Ltd","UNIDT","228.95","2.08%","5,746","205.28","455.36","industrials","10.39","228.5",""
252,"Tilaknagar Industries Limited","TI","580.55","2.07%","10,07,098","446.28","14075.08","fmcg","21.99","500.29",""
253,"Usha Martin Limited","USHAMART","498.05","2.07%","2,65,944","456.28","14869.89","metals & mining","13.17","503.06",""
254,"Sil Investments Limited","SILINV","449.65","2.07%","4,820","434.29","466.8","financials","15.76","429.17",""
255,"Kcp Sugar And Industries Corporation Limited","KCPSUGIND","31.12","2.07%","1,87,161","24.47","345.71","fmcg","1.9","29.15",""
256,"Laxmi Organic Industries Ltd","LXCHEM","179.66","2.05%","6,94,981","148.99","4880.31","chemicals","6.5","176.88",""
257,"BCL Industries Ltd","BCLIND","36.36","2.05%","26,51,757","32.49","1051.67","fmcg","1.52","36.3",""
258,"Aarey Drugs & Pharmaceuticals Ltd","AAREYDRUGS","85.58","2.04%","1,15,722","76.38","237.81","healthcare","4.11","82.13",""
259,"Syncom Formulations (India) Ltd","SYNCOMF","15.22","2.01%","40,56,368","13.47","1402.48","healthcare","0.8","14.12",""
260,"Lyka Labs Limited","LYKALABS","68.03","1.99%","18,552","64.53","241.14","healthcare","2.06","66.66",""
261,"Grp Limited","GRPLTD","2,049.2","1.98%","3,765","1838.63","1071.73","fmcg","74.7","1981.66",""
262,"Hindalco Industries Limited","HINDALCO","1,049.9","1.98%","30,62,996","985.87","231351.97","metals & mining","27.77","1015.83",""
263,"Sansera Engineering Ltd","SANSERA","4,002","1.97%","1,92,345","2585.39","24490.9","auto","175.91","3597.16",""
264,"Siemens Energy India Ltd","ENRIN","3,605.7","1.96%","2,88,294","3088.54","125934.89","power & utilities","130.45","3444.33",""
265,"Kirloskar Brothers Limited","KIRLOSBROS","1,942.9","1.96%","41,224","1695.45","15131.37","industrials","64.7","1908.89",""
266,"Vipul Limited","VIPULLTD","14.58","1.96%","19,568","11.47","201.57","realty","0.6","13.25",""
267,"Raymond Limited","RAYMOND","647.85","1.95%","11,36,588","481.48","4230.43","transportation","21.54","616.42",""
268,"Viji Finance Limited","VIJIFIN","12.63","1.94%","33,502","4.64","255.23","financials","0.22","10.56",""
269,"Aym Syntex Limited","AYMSYNTEX","271.9","1.93%","52,703","209.13","1566.73","textiles","14.46","251.19",""
270,"Greenply Industries Limited","GREENPLY","286.3","1.9%","1,03,250","253.36","3509.12","building materials","9.75","290.24",""
271,"Allied Blenders & Distillers Ltd","ABDL","610.65","1.87%","3,33,738","543.02","16767.23","fmcg","25.12","619.4",""
272,"Snowman Logistics Limited","SNOWMAN","38.63","1.87%","1,88,660","38.35","633.6","transportation","1.64","38.25",""
273,"Refex Industries Limited","REFEX","302.75","1.85%","5,71,700","267.93","4078.85","services","11.53","305.78",""
274,"Balkrishna Industries Limited","BALKRISIND","2,407.2","1.84%","1,92,741","2278.62","45692.45","auto","88.26","2348.64",""
275,"Macpower CNC Machines Ltd","MACPOWER","1,781.4","1.84%","28,467","1100.38","1750.03","industrials","104.95","1573.33",""
276,"Computer Age Management Services Ltd","CAMS","776.25","1.84%","13,14,547","741.46","18919.41","financials","18.97","782.81",""
277,"Tvs Motor Company Limited","TVSMOTOR","4,385.9","1.83%","6,04,301","3675.13","204620.02","auto","83.48","4192.82",""
278,"Pricol Ltd.","PRICOLLTD","806.55","1.83%","5,59,472","598.72","9653.62","auto","28.16","720.66",""
279,"Hindustan Oil Exploration Company Limited","HINDOILEXP","154.89","1.83%","4,44,336","153.32","2011.42","energy","5.48","159.03",""
280,"Beml Limited","BEML","1,908.5","1.82%","3,86,580","1739.19","15611.69","aerospace & defence","64.49","1819.38",""
281,"PCBL Ltd","PCBL","315.45","1.82%","5,22,885","292.91","12189.47","chemicals","10.98","320.27",""
282,"Shoppers Stop Limited","SHOPERSTOP","432.05","1.81%","32,788","348.63","4673.14","consumer discretionary","16.98","407",""
283,"Quess Corp Limited","QUESS","343.9","1.81%","4,33,269","229.31","5045.38","miscellaneous","15.23","317.28",""
284,"AGI Greenpac Ltd","AGI","716.5","1.8%","1,86,495","621.35","4553.4","industrials","20.2","704.64",""
285,"Ivp Limited","IVP","177.98","1.8%","7,650","149.72","180.54","chemicals","6.82","167.04",""
286,"Industrial Investment Trust Limited","IITL","150.35","1.8%","1,35,765","141.91","333","financials","6.69","141.19",""
287,"Deep Industries Ltd","DEEPINDS","680.7","1.79%","2,80,305","453.78","4279.68","energy","31.81","604.99",""
288,"Rolex Rings Ltd","ROLEXRINGS","179.46","1.79%","24,78,080","137.64","4801.23","auto","8.02","157.52",""
289,"Shringar House of Mangalsutra Ltd","SHRINGARMS","227.24","1.78%","3,51,594","216.07","2153.04","consumer discretionary","7.18","226.81",""
290,"Cemindia Projects Ltd","CEMPRO","1,321.8","1.77%","10,01,076","916.36","22311.77","realty","62.82","1334.39",""
291,"Lux Industries Limited","LUXIND","1,209","1.76%","48,400","1175.28","3572.82","textiles","39.6","1241.47",""
292,"Stel Holdings Limited","STEL","591.4","1.76%","4,701","497.58","1072.63","financials","21.1","559.44",""
293,"PDS Ltd","PDSL","376.35","1.76%","56,835","320.47","5231.24","textiles","13.35","364.67",""
294,"EMS Ltd","EMSLIMITED","369.1","1.76%","4,72,156","348.85","2014.1","realty","15.74","393.69",""
295,"Gala Precision Engineering Ltd","GALAPREC","1,018","1.74%","31,398","882.92","1282.39","industrials","51.95","1069.44",""
296,"Enviro Infra Engineers Ltd","EIEL","200.16","1.74%","6,06,823","191.12","3453.2","realty","7.56","213.1",""
297,"Bansal Wire Industries Ltd","BANSALWIRE","323.75","1.73%","1,15,942","294.84","4982.39","metals & mining","12.15","321.67",""
298,"Mangalam Global Enterprise Ltd","MGEL","14.68","1.73%","78,249","13.63","475.55","services","0.64","15.24",""
299,"Aegis Logistics Ltd","AEGISLOG","1,287.2","1.72%","5,73,952","859.89","44415.54","services","66.89","1297.3",""
300,"Omaxe Limited","OMAXE","100.83","1.7%","32,03,459","79.69","1813.28","realty","6.79","89.47",""
301,"Caplin Point Laboratories Limited","CAPLIPOINT","2,522","1.67%","99,795","2022.29","18854.7","healthcare","94.65","2544.69",""
302,"Vishnu Chemicals Limited","VISHNU","618.25","1.67%","96,864","562.38","4093.44","chemicals","16.59","604.74",""
303,"Page Industries Limited","PAGEIND","37,360","1.66%","54,629","36462","40990.49","consumer discretionary","1137.15","39084.66",""
304,"Glottis Ltd","GLOTTIS","66.1","1.66%","28,382","57.93","600.8","transportation","2.34","66.57",""
305,"ESAF Small Finance Bank Ltd","ESAFSFB","39.26","1.66%","3,42,387","29.38","1992.61","bank","2.53","38.66",""
306,"Subex Ltd","SUBEXLTD","14.11","1.66%","20,17,345","10.51","780.06","i.t","0.6","13.27",""
307,"Sona BLW Precision Forgings Ltd","SONACOMS","805.1","1.65%","23,46,950","586.61","49265.16","auto","21.93","766.78",""
308,"Diffusion Engineers Ltd","DIFFNKG","398.4","1.65%","1,04,646","319.15","1466.92","industrials","25.7","396.67",""
309,"Data Patterns (India) Ltd","DATAPATTNS","4,528.7","1.64%","3,82,048","3684.53","24945.34","aerospace & defence","160.96","4441.04",""
310,"Moschip Technologies Ltd","MOSCHIP","211.72","1.64%","16,76,344","200.55","4051","i.t","6.52","213.26",""
311,"Knr Constructions Limited","KNRCON","134.6","1.64%","21,54,878","130.68","3724.39","realty","6.37","131.23",""
312,"GHCL Textiles Ltd","GHCLTEXTIL","120.08","1.63%","8,23,802","89.87","1129.35","textiles","5.37","116.14",""
313,"Filatex India Limited","FILATEX","82.72","1.63%","15,92,764","51.27","3614.19","textiles","3.8","76.96",""
314,"Setco Automotive Limited","SETCO","17.5","1.63%","68,776","13.13","230.35","auto","0.35","17.66",""
315,"Lincoln Pharmaceuticals Limited","LINCOLN","623.35","1.62%","38,412","595.62","1228.62","healthcare","23.89","601.59",""
316,"Kewal Kiran Clothing Limited","KKCL","521","1.62%","30,336","478.64","3159.52","consumer discretionary","19.32","514.1",""
317,"Arisinfra Solutions Ltd","ARIS","136.25","1.61%","7,92,919","116.64","1096.77","services","5.31","129.13",""
318,"Orient Ceratech Ltd","ORIENTCER","44.08","1.61%","1,09,482","40.68","518.99","building materials","1.94","41.8",""
319,"Career Point Edutech Ltd","CPEDU","208.11","1.6%","6,651","197.34","372.66","services","8.97","205.28",""
320,"Heritage Foods Limited","HERITGFOOD","363.65","1.58%","1,55,748","344.59","3322.1","fmcg","9.78","347.25",""
321,"Sunflag Iron And Steel Company Limited","SUNFLAG","360.75","1.58%","1,05,590","302.68","6400.49","metals & mining","13.36","362.72",""
322,"Ponni Sugars (erode) Limited","PONNIERODE","350.75","1.58%","3,86,846","295.07","296.9","fmcg","13.18","327.19",""
323,"Happiest Minds Technologies Ltd","HAPPSTMNDS","426.8","1.57%","31,99,998","380.46","6398.59","i.t","18.06","393.4",""
324,"Electronics Mart India Ltd","EMIL","192.42","1.57%","32,35,362","112.91","7288.68","consumer discretionary","10.05","159.11",""
325,"Maharashtra Seamless Limited","MAHSEAMLES","622","1.56%","1,06,253","586.49","8206.78","industrials","16.39","595.55",""
326,"Pc Jeweller Limited","PCJEWELLER","9.79","1.56%","9,70,16,852","9.42","9360.96","consumer discretionary","0.35","9.65",""
327,"Jullundur Motor Agency (delhi) Limited","JMA","89.2","1.55%","14,284","85.58","200.64","auto","3.08","88.51",""
328,"Gravita India Limited","GRAVITA","1,821.7","1.53%","2,75,373","1632.07","13243.45","metals & mining","56.11","1751.83",""
329,"PVR Inox Ltd","PVRINOX","1,192","1.53%","2,61,706","1012.26","11528.68","media","39.44","1127.88",""
330,"United Polyfab Gujarat Ltd","UNITEDPOLY","33.82","1.53%","47,803","29.53","764.52","textiles","1.84","31",""
331,"Jocil Limited","JOCIL","148.5","1.52%","657","134.84","129.91","chemicals","5.88","147.22",""
332,"Ethos Ltd","ETHOSLTD","2,788.6","1.5%","12,714","2471.92","7351.41","consumer discretionary","125.32","2722.9",""
333,"L&t Technology Services Limited","LTTS","3,528.5","1.49%","93,595","3501.42","36877.93","i.t","104.56","3512.84",""
334,"SKF India (Industrial) Ltd","SKFINDUS","2,724.6","1.49%","1,89,736","2465.14","13272.61","industrials","99.97","2722.87",""
335,"Blue Jet Healthcare Ltd","BLUEJET","593.2","1.49%","3,40,303","466.26","11063.16","healthcare","19.36","586.65",""
336,"Jubilant Foodworks Limited","JUBLFOOD","511.5","1.47%","20,25,328","467.72","33262.8","consumer discretionary","17.67","468.84",""
337,"U. Y. Fincorp Ltd","UYFINCORP","21.39","1.47%","3,44,198","14.87","401.02","financials","1.17","19.33",""
338,"Bodhi Tree Multimedia Ltd","BTML","8.95","1.47%","11,05,513","6.86","160.26","media","0.65","7.54",""
339,"Neuland Laboratories Limited","NEULANDLAB","23,661","1.46%","93,991","15891.1","29919.3","healthcare","898.88","21081.05",""
340,"Bhageria Industries Limited","BHAGERIA","202.08","1.42%","15,868","177.39","869.61","chemicals","8.46","207.71",""
341,"Cesc Limited","CESC","170.22","1.42%","21,97,565","164.64","22247.05","power & utilities","3.88","165.12",""
342,"Nocil Limited","NOCIL","163.71","1.42%","1,77,919","159.74","2696.12","chemicals","4.69","166.36",""
343,"Lancor Holdings Ltd","LANCORHOL","29.29","1.42%","1,93,989","24.82","212.41","realty","2.03","26.65",""
344,"Polycab India Ltd","POLYCAB","9,370","1.41%","2,39,095","8443.77","139186.79","industrials","166.84","9215.6",""
345,"Indo Tech Transformers Limited","INDOTECH","3,608.4","1.41%","16,035","2241.51","3778.7","industrials","175.47","3514.25",""
346,"Satin Creditcare Network Limited","SATIN","228.73","1.41%","4,67,395","194.5","2491.56","financials","9.02","236.88",""
347,"Total Transport Systems Ltd","TOTAL","65.07","1.4%","10,636","57.72","103.49","transportation","3.87","59.55",""
348,"Torrent Pharmaceuticals Limited","TORNTPHARM","4,900","1.39%","2,93,772","4405.45","183831.78","healthcare","110.71","4914.09",""
349,"India Motor Parts And Accessories Limited","IMPAL","1,083.1","1.39%","1,459","1054.25","1333.24","auto","38.53","1092.37",""
350,"Meesho Ltd","MEESHO","193.82","1.39%","50,04,269","172.13","88099.16","i.t","5.31","189.23",""
351,"Kovai Medical Center & Hospital Ltd","KOVAI","6,122","1.38%","6,978","4362.6","6607.48","healthcare","196.3","5931.37",""
352,"Welspun Enterprises Limited","WELENT","569.4","1.37%","1,45,316","518.45","7774.7","realty","17.25","584.48",""
353,"Automotive Stampings And Assemblies Limited","ASAL","505.95","1.37%","60,495","479.5","791.79","auto","17.31","508.25",""
354,"Bharat Forge Limited","BHARATFORG","2,093","1.36%","11,57,779","1868.68","98725.3","industrials","61.75","2133.54",""
355,"India Nippon Electricals Limited","INDNIPPON","1,138.5","1.36%","20,933","880.53","2540.84","auto","50.83","1142.41",""
356,"Bodal Chemicals Limited","BODALCHEM","69.41","1.36%","81,092","60.48","862.47","chemicals","2.64","68.66",""
357,"Elgi Rubber Company Limited","ELGIRUBCO","59.11","1.34%","30,528","47.74","291.94","fmcg","3.42","58.73",""
358,"Gulf Oil Lubricants India Limited","GULFOILLUB","1,174.6","1.32%","34,308","1026.14","5740.48","chemicals","32.57","1125.4",""
359,"Tainwala Chemical And Plastic (i) Limited","TAINWALCHM","208.5","1.32%","10,670","194.79","192.69","services","8.91","205.47",""
360,"Oil India Limited","OIL","474.65","1.31%","26,54,359","462.65","76206.58","energy","13.32","455.86",""
361,"Nmdc Limited","NMDC","85.5","1.3%","4,07,48,162","84.61","74202.94","metals & mining","2.04","85.02",""
362,"Muthoot Capital Services Limited","MUTHOOTCAP","258.69","1.28%","9,851","218.02","420.09","financials","9.04","243.32",""
363,"Loyal Textile Mills Ltd","LOYALTEX","221","1.28%","590","212.6","105.09","textiles","14.21","213.55",""
364,"Billionbrains Garage Ventures Ltd","GROWW","198.69","1.28%","1,67,54,271","184.92","123069.15","financials","4.39","196.45",""
365,"Suryoday Small Finance Bank Ltd","SURYODAY","154.01","1.28%","6,70,272","152.17","1616.24","bank","6.08","165.35",""
366,"Kalyani Forge Limited","KALYANIFRG","651.7","1.27%","2,904","608.53","234.11","industrials","40.33","629.55",""
367,"Smartworks Coworking Spaces Ltd","SMARTWORKS","494.95","1.27%","1,75,356","445.38","5584.56","co-working","16.68","482.02",""
368,"Ola Electric Mobility Ltd","OLAELEC","39.22","1.27%","3,99,19,495","35.38","17925.83","auto","1.51","39.54",""
369,"Aarti Pharmalabs Ltd","AARTIPHARM","861.95","1.26%","5,20,496","706.42","7718.67","healthcare","43.11","763.27",""
370,"Laurus Labs Limited","LAURUSLABS","1,809.7","1.25%","16,31,767","1266.79","96558.81","healthcare","42.52","1759.05",""
371,"Seamec Limited","SEAMECLTD","1,561.1","1.25%","1,98,732","1418.34","3920.28","miscellaneous","54.42","1491.56",""
372,"Sharda Motor Industries Limited","SHARDAMOTR","909.5","1.25%","32,538","858.35","5156.65","auto","32.8","886.16",""
373,"Heidelbergcement India Limited","HEIDELBERG","160.22","1.25%","1,64,335","158.32","3585.93","building materials","2.78","156.73",""
374,"Ajanta Pharma Limited","AJANTPHARM","3,718.2","1.24%","1,10,437","3050.29","45886.36","healthcare","92.52","3502.76",""
375,"Jindal Saw Limited","JINDALSAW","270.4","1.24%","4,21,259","221.22","17081.26","industrials","7.76","265.25",""
376,"ICICI Prudential Asset Management Co Ltd","ICICIAMC","3,136","1.23%","3,25,665","3115.24","153116.35","financials","62.78","3114.28",""
377,"Bharti Hexacom Ltd","BHARTIHEXA","1,641","1.23%","2,65,562","1566.17","81055","telecom-service","57.94","1575.65",""
378,"Tci Express Limited","TCIEXP","566.75","1.23%","52,357","530.81","2150.89","transportation","23.79","555.61",""
379,"Lloyds Metals & Energy Ltd","LLOYDSME","1,942","1.22%","2,64,020","1562.42","107999.33","metals & mining","63.99","1959.42",""
380,"Venus Pipes & Tubes Ltd","VENUSPIPES","1,596.5","1.22%","99,452","1330.84","3267.55","metals & mining","69.33","1628.38",""
381,"Bank Of Maharashtra Ltd","MAHABANK","81.1","1.22%","80,38,098","75.06","61624.74","bank","1.95","80.47",""
382,"Venus Remedies Limited","VENUSREM","1,803.4","1.2%","50,493","1166.99","2382.13","healthcare","102.97","1651.93",""
383,"SMC Global Securities Ltd","SMCGLOBAL","80.41","1.2%","4,64,918","72.06","1663.89","financials","2.56","78.81",""
384,"Tsf Investments Ltd","TSFINV","420.4","1.19%","66,947","413.8","9227.3","financials","14.15","436.85",""
385,"Pnb Gilts Limited","PNBGILTS","80.34","1.17%","3,85,623","79.44","1429.46","financials","2.34","82.74",""
386,"Aartech Solonics Ltd","AARTECH","50.82","1.17%","1,62,979","46.14","159.58","industrials","2.44","48.34",""
387,"Suraksha Diagnostic Ltd","SURAKSHA","308.45","1.16%","3,15,695","272.24","1587.94","healthcare","16.05","269.8",""
388,"Equippp Social Impact Technologies Ltd","EQUIPPP","21.75","1.16%","434","18.79","221.65","i.t","1.22","22.43",""
389,"Lumax Auto Technologies Limited","LUMAXTECH","2,049","1.15%","1,34,817","1605.7","13806.71","auto","86.6","1756.33",""
390,"Rainbow Childrens Medicare Ltd","RAINBOW","1,478.5","1.14%","1,12,226","1309.05","14845.92","healthcare","46.42","1499.12",""
391,"Universus Photo Imagings Ltd","UNIVPHOTO","478","1.14%","1,214","381.28","517.34","consumer discretionary","26.62","458.69",""
392,"Chamanlal Setia Exports Ltd","CLSEL","281.6","1.13%","22,196","269.41","1384.61","fmcg","9.66","282.61",""
393,"V2 Retail Limited","V2RETAIL","218.85","1.13%","12,15,948","211.85","7890.76","consumer discretionary","6.3","220.29",""
394,"Yes Bank Limited","YESBANK","22.92","1.1%","5,82,04,418","21.72","71153.79","bank","0.34","22.99",""
395,"Pritika Auto Industries Ltd","PRITIKAUTO","17.49","1.1%","79,186","14.58","288.07","auto","0.88","17.69",""
396,"Kennametal India Ltd","KENNAMET","3,551.7","1.09%","31,294","2824.45","7721.62","industrials","173.98","3185.17",""
397,"Graphite India Limited","GRAPHITE","729.5","1.09%","5,27,724","667.11","14098.3","industrials","24.76","694.05",""
398,"Ambika Cotton Mills Limited","AMBIKCO","1,615.9","1.08%","8,416","1493.33","915.2","textiles","67.08","1691.07",""
399,"Hinduja Global Solutions Limited","HGS","413.05","1.08%","22,293","406.67","1901.05","i.t","11.07","418.08",""
400,"Indigo Paints Ltd","INDIGOPNTS","1,161","1.07%","2,61,404","978.29","5476.5","building materials","44.12","1106.04",""
401,"Indegene Ltd","INDGN","561.75","1.07%","1,74,182","499.58","13392.24","healthcare","18.37","541.62",""
402,"Dhampur Bio Organics Ltd","DBOL","121.08","1.07%","4,17,023","106.24","795.32","fmcg","5.73","111.77",""
403,"Rossell India Limited","ROSSELLIND","56.17","1.06%","15,480","51.7","209.52","fmcg","2.45","57.19",""
404,"Raj Rayon Industries Ltd","RAJRILTD","21.93","1.06%","14,730","21.42","1206.7","textiles","0.67","21.57",""
405,"Vimta Labs Limited","VIMTALABS","623.45","1.05%","1,26,778","505.44","2756.1","healthcare","24.67","614.62",""
406,"Lords Chloro Alkali Ltd","LORDSCHLO","139.98","1.05%","12,952","138.09","396.94","chemicals","6.48","141.8",""
407,"Jindal Worldwide Limited","JINDWORLD","35.63","1.05%","19,75,859","28.02","3535.17","textiles","1.84","36.28",""
408,"United Foodbrands Ltd","UFBL","762.6","1.02%","21,086","419.58","2950.63","consumer discretionary","45.49","742.03",""
409,"Skipper Limited","SKIPPER","530.7","1.02%","3,64,941","452.09","6415.96","industrials","21.72","534.13",""
410,"Vardhman Holdings Limited","VHL","3,473.8","1.01%","543","3393.88","1097.57","financials","112.08","3485.55",""
411,"Apcotex Industries Limited","APCOTEXIND","605.45","0.99%","1,45,631","448.46","3108.11","chemicals","24.65","595.41",""
412,"Global Education Ltd","GLOBAL","107.47","0.99%","2,55,174","99.05","541.69","services","5.55","103.14",""
413,"CG Power and Industrial Solutions Ltd","CGPOWER","898.8","0.97%","20,66,513","789.49","140196.78","industrials","20.1","884.58",""
414,"Metropolis Healthcare Ltd","METROPOLIS","550.75","0.96%","1,95,173","507.43","11309.96","healthcare","18.96","565",""
415,"Info Edge (india) Limited","NAUKRI","1,355.8","0.95%","30,63,291","1092.21","87082.89","i.t","41.61","1261.97",""
416,"Onward Technologies Limited","ONWARDTEC","286.75","0.95%","29,858","272.98","631.81","i.t","9.22","286.35",""
417,"Knowledge Marine & Engineering Works Ltd","KMEW","2,756.5","0.94%","5,97,878","1954.3","6675.2","transportation","139.28","2549.69",""
418,"Talbros Automotive Components Limited","TALBROAUTO","423.45","0.94%","1,90,674","319.4","2589.5","auto","19.12","414.33",""
419,"Cummins India Limited","CUMMINSIND","5,450","0.93%","4,81,671","5052.37","149688","industrials","124.22","5458.56",""
420,"Radico Khaitan Limited","RADICO","4,693.4","0.93%","2,12,499","3354.43","62278.08","fmcg","104.27","4416.11",""
421,"Shaily Engineering Plastics Ltd","SHAILY","3,396.3","0.93%","69,651","2485.41","15477.4","plastic products","131.93","3184.53",""
422,"Triveni Turbine Limited","TRITURBINE","597.9","0.93%","4,16,501","564.46","18832.1","industrials","21.95","614.03",""
423,"Panama Petrochem Limited","PANAMAPET","487.1","0.93%","11,23,172","338.74","2919.42","energy","37.68","475.21",""
424,"Cohance Lifesciences Ltd","COHANCE","444.75","0.93%","17,08,901","395.34","16857.82","healthcare","17.72","439.55",""
425,"Central Depository Services Ltd","CDSL","1,356.8","0.92%","10,12,698","1299.1","28097.96","financials","25.3","1343.89",""
426,"India Glycols Limited","INDIAGLYCO","1,070.9","0.92%","1,38,254","982.25","7112.21","fmcg","38.55","1101.77",""
427,"Esab India Limited","ESABINDIA","6,289","0.91%","8,506","5793.25","9592.93","industrials","207.02","5853.55",""
428,"Alicon Castalloy Limited","ALICON","726.1","0.9%","2,52,960","692.47","1181","industrials","41.08","703.82",""
429,"Dlf Limited","DLF","671","0.9%","30,46,267","612.45","164608.23","realty","15.74","656.41",""
430,"Maharashtra Scooters Limited","MAHSCOOTER","13,449","0.89%","1,471","12881.86","15234.28","financials","360.1","13337.65",""
431,"Anthem Biosciences Ltd","ANTHEM","898","0.89%","6,93,951","726.47","50146.88","healthcare","25.26","834.63",""
432,"Balaxi Pharmaceuticals Ltd","BALAXI","24.21","0.88%","27,550","23.49","132.5","healthcare","0.78","24.08",""
433,"Ifb Agro Industries Limited","IFBAGRO","1,038.15","0.86%","8,715","980.69","964.16","fmcg","41.17","991.97",""
434,"Matrimony.com Ltd","MATRIMONY","543.05","0.86%","19,707","449.32","1113.06","miscellaneous","26.54","477.72",""
435,"Oil Country Tubular Limited","OILCOUNTUB","59.6","0.85%","24,583","52.99","307.26","metals & mining","2.78","58.46",""
436,"Mukand Limited","MUKANDLTD","135.27","0.84%","58,735","133.35","1938.26","metals & mining","4.31","138.87",""
437,"Jindal Stainless Limited","JSL","744","0.83%","3,66,086","743.15","60829.8","metals & mining","15.05","731.45",""
438,"Lodha Developers Ltd","LODHA","1,254","0.81%","8,56,360","981.33","124277.35","realty","37.57","1209.65",""
439,"Himadri Speciality Chemical Limited","HSCL","787.4","0.81%","32,15,825","574.24","39407.22","chemicals","22.32","755.26",""
440,"Union Bank Of India Ltd","UNIONBANK","188.9","0.81%","1,46,97,760","175.05","143038.5","bank","4.72","178.73",""
441,"Paras Defence and Space Technologies Ltd","PARAS","1,388.5","0.8%","9,07,157","888.61","11100.9","aerospace & defence","54.03","1282.43",""
442,"The Federal Bank  Limited","FEDERALBNK","354.1","0.8%","36,16,352","300.96","86702.21","bank","6.26","352.01",""
443,"Sterling & Wilson Renewable Energy Ltd","SWSOLAR","203.62","0.8%","7,53,220","201.91","4717.57","realty","5.14","208.66",""
444,"GMM Pfaudler Ltd","GMMPFAUDLR","1,056.55","0.79%","3,18,946","885.94","4712.64","industrials","41.23","922.85",""
445,"Berger Paints (i) Limited","BERGEPAINT","549.35","0.78%","4,60,725","486.29","63558.81","building materials","17.31","530.16",""
446,"Confidence Petroleum India Ltd","CONFIPET","72.55","0.78%","10,10,011","54.56","2391.8","miscellaneous","4.18","76.72",""
447,"Aditya Birla Sun Life AMC Ltd","ABSLAMC","1,019","0.77%","1,25,429","987.8","29204.08","financials","27.49","1035.24",""
448,"Sheetal Cool Products Ltd","SCPL","657.95","0.75%","46,173","411.53","685.7","fmcg","51.23","606.28",""
449,"Fedbank Financial Services Ltd","FEDFINA","152","0.75%","6,27,574","147.63","5656.21","financials","4.38","152.34",""
450,"Multi Commodity Exchange Of India Limited","MCX","2,933.1","0.74%","12,22,769","2705.54","74240.88","financials","93.26","2804.48",""
